file_path,special_info,Kp,Ki,Kd,Kp_pos,Ki_pos,Kd_pos,start_time,omega,phase/pi,iae_angle,iae_position,max_angle_deviation,max_position_overshoot,control_effort_proxy,fitness_score
.\cart_pendulum_data_3\pid_set_9\23-07-csv\pid-12-09-05.csv,,700.0,490.0,2.0,-0.04,0.0,-0.014,2409.065,2.0,0.0,13.286999999999999,130788.0,1.2993,1908.0,375.79463088,65843.651363088
.\cart_pendulum_data_6\pid_set_4\23-07-csv\pid-13-22-39.csv,,800.0,560.0,2.75,-0.04,0.0,-0.014,6823.899,2.0,0.0,13.296199999999999,143494.0,1.3054,2322.0,523.6433501600001,72294.272935016
.\cart_pendulum_data_1\pid_set_12\22-07-csv\pid-17-33-10.csv,,500.0,350.0,2.75,-0.04,0.0,-0.02,1717.969,2.0,0.0,25.2566,144512.0,0.0414,248.0,2234.79644836,72579.71704483601
.\cart_pendulum_data_7\pid_set_5\23-07-csv\pid-14-55-21.csv,,800.0,560.0,3.5,-0.04,0.0,-0.008,12383.212,2.0,0.0,17.9072,161364.0,2.166,1871.0,818.95873696,81180.40827369601
.\cart_pendulum_data_9\pid_set_1\23-07-csv\pid-15-26-17.csv,,450.0,315.0,3.0,-0.03,0.0,-0.005,62.245,2.0,0.0,71.23400000000001,173040.0,4.9271,2975.0,1852.52560934,87457.50186093399
.\cart_pendulum_data_7\pid_set_4\23-07-csv\pid-14-54-22.csv,,800.0,560.0,2.75,-0.08,0.0,-0.02,12285.967,2.0,0.0,34.2768,204688.0,0.0491,274.0,2977.67057476,102765.267957476
.\cart_pendulum_data_1\pid_set_27\22-07-csv\pid-17-51-03.csv,,500.0,350.0,3.5,-0.08,0.0,-0.02,2832.535,2.0,0.0,132.4136,228130.0,1.8423,2928.0,8490.103082360001,115769.964408236
.\cart_pendulum_data_1\pid_set_17\22-07-csv\pid-17-39-09.csv,,500.0,350.0,2.75,-0.08,0.0,-0.014,2077.329,2.0,0.0,23.339399999999998,238256.0,0.0353,246.0,1186.14050114,119342.59875011399
.\cart_pendulum_data_9\pid_set_6\23-07-csv\pid-15-31-41.csv,,450.0,315.0,3.0,-0.043,0.0,-0.0083,385.954,2.0,0.0,20.488999999999997,267786.0,0.5001,2907.0,348.65320714000006,134551.743620714
.\cart_pendulum_data_2\pid_set_10\23-07-csv\pid-11-44-11.csv,,600.0,420.0,2.75,-0.06,0.0,-0.008,910.159,2.0,0.0,40.160199999999996,292088.0,2.821,1954.0,1305.0978536999999,146654.09318536997
.\cart_pendulum_data_1\pid_set_8\22-07-csv\pid-17-28-00.csv,,500.0,350.0,2.0,-0.08,0.0,-0.014,1407.796,2.0,0.0,34.3322,348730.0,0.0491,391.0,1180.7493181,174630.08663181003
.\cart_pendulum_data_4\pid_set_17\23-07-csv\pid-12-51-38.csv,,700.0,490.0,3.5,-0.08,0.0,-0.014,4921.763,2.0,0.0,28.2998,400822.0,0.0414,405.0,1517.42474962,200700.46627496197
.\cart_pendulum_data_9\pid_set_2\23-07-csv\pid-15-27-18.csv,,450.0,315.0,3.0,-0.03,0.0,-0.0083,119.55,2.0,0.0,40.296600000000005,400962.0,3.0649,2245.0,1429.4631587000001,201162.73421587
.\cart_pendulum_data_9\pid_set_11\23-07-csv\pid-15-39-07.csv,,450.0,315.0,3.0,-0.057,0.0,-0.0117,792.422,2.0,0.0,30.426000000000002,403852.0,0.0368,386.0,610.84028764,202125.24642876402
.\cart_pendulum_data_1\pid_set_23\22-07-csv\pid-17-46-12.csv,,500.0,350.0,3.5,-0.06,0.0,-0.014,2500.615,2.0,0.0,30.058799999999998,420420.0,0.0414,370.0,873.5201399,210431.59381398998
.\cart_pendulum_data_4\pid_set_18\23-07-csv\pid-12-53-15.csv,,700.0,490.0,3.5,-0.08,0.0,-0.02,5018.985,2.0,0.0,34.02159999999999,425630.0,0.0629,440.0,2309.58168294,213202.19006829397
.\cart_pendulum_data_8\pid_set_1\23-07-csv\pid-15-10-09.csv,,800.0,560.0,3.5,-0.08,0.0,-0.014,13202.807,2.0,0.0,27.6762,432698.0,0.0445,481.0,2016.4112491,216702.32702491002
.\cart_pendulum_data_7\pid_set_1\23-07-csv\pid-14-50-07.csv,,800.0,560.0,2.75,-0.06,0.0,-0.02,12030.46,2.0,0.0,34.9032,444178.0,0.0537,514.0,2050.86041786,222466.853541786
.\cart_pendulum_data_6\pid_set_1\23-07-csv\pid-13-19-08.csv,,800.0,560.0,2.0,-0.08,0.0,-0.014,6571.303,2.0,0.0,30.285800000000002,445202.0,0.046,494.0,2689.0033733,223029.40993733
.\cart_pendulum_data_1\pid_set_7\22-07-csv\pid-17-26-22.csv,,500.0,350.0,2.0,-0.08,0.0,-0.008,1310.597,2.0,0.0,43.792,457916.0,0.0706,523.0,261.19282866000003,229176.515082866
.\cart_pendulum_data_9\pid_set_12\23-07-csv\pid-15-40-44.csv,,450.0,315.0,3.0,-0.057,0.0,-0.015,889.405,2.0,0.0,36.3722,477566.0,0.0491,453.0,1221.6211714600001,239068.65381714603
.\cart_pendulum_data_7\pid_set_11\23-07-csv\pid-15-06-22.csv,,800.0,560.0,3.5,-0.08,0.0,-0.008,13005.593,2.0,0.0,29.498,478796.0,0.043,482.0,895.7182419199999,239643.096824192
.\cart_pendulum_data_1\pid_set_5\22-07-csv\pid-17-22-36.csv,,500.0,350.0,2.0,-0.06,0.0,-0.014,1084.566,2.0,0.0,38.927800000000005,526154.0,0.0476,520.0,1255.5492226,263384.55332226
.\cart_pendulum_data_1\pid_set_15\22-07-csv\pid-17-36-38.csv,,500.0,350.0,2.75,-0.06,0.0,-0.02,1926.27,2.0,0.0,46.7478,576788.0,0.0721,528.0,1723.77102864,288765.68900286395
.\cart_pendulum_data_2\pid_set_11\23-07-csv\pid-11-45-48.csv,,600.0,420.0,2.75,-0.06,0.0,-0.014,971.709,2.0,0.0,35.34439999999999,584922.0,0.0598,678.0,1080.336543,292775.5018543
.\cart_pendulum_data_4\pid_set_9\23-07-csv\pid-12-39-30.csv,,700.0,490.0,2.75,-0.08,0.0,-0.02,4193.832,2.0,0.0,47.6,593852.0,0.0782,618.0,2801.19574266,297425.15417426603
.\cart_pendulum_data_1\pid_set_11\22-07-csv\pid-17-31-33.csv,,500.0,350.0,2.75,-0.04,0.0,-0.014,1620.957,2.0,0.0,29.449399999999997,607928.0,0.0383,553.0,823.22810484,304215.93651048397
.\cart_pendulum_data_4\pid_set_15\23-07-csv\pid-12-47-04.csv,,700.0,490.0,3.5,-0.06,0.0,-0.02,4647.805,2.0,0.0,38.462399999999995,611348.0,0.066,756.0,2486.94924064,306151.01772406395
